Date,Low,Open,Volume,High,Close,Adjusted Close
01/02/2020,141.0099945,144.2599945,403400,144.2599945,142.3099976,140.3629608
01/03/2020,140.1000061,140.7599945,262700,142.1699982,141.9700012,140.0276184
01/06/2020,140.7200012,141.1100006,434300,142.4199982,141.8600006,139.9191437
01/07/2020,140.6999969,141.2299957,645700,142.9499969,142.4299927,140.481308
01/08/2020,142.2700043,142.6600037,828000,145.4199982,145.0800018,143.0950623
01/09/2020,143.9100037,145.3200073,417500,146.0099945,144.3300018,142.3553162
01/10/2020,144.75,144.7599945,546000,146.3999939,146.0500031,144.0518036
02/03/2020,137.0299988,137.9799957,568600,139.7599945,137.2599945,135.3820496
02/04/2020,137.9799957,138.6399994,564200,140.7599945,138.4900055,136.5952454
02/05/2020,139.2400055,139.5200043,574700,143.25,142,140.0571899
02/06/2020,140.9600067,142.6499939,583800,143.6799927,141.0800018,139.1497955
02/07/2020,137.9400024,141,579900,141.5099945,138.1300049,136.2401428
02/10/2020,137.5599976,137.9700012,472000,139.6799927,139.6100006,137.6999207
02/11/2020,139.8800049,140.0099945,278300,141.7700043,141.6799927,139.7416077
02/12/2020,140.25,142.2700043,358500,143.0299988,140.3099976,138.3903198
03/02/2020,123.3199997,124.4000015,1050200,132.5299988,131.8200073,130.2195892
03/03/2020,124.7200012,131.2400055,1092700,134.6699982,125.3399963,123.8182526
03/04/2020,128.6799927,129.6000061,1091800,132.5700073,131.7100067,130.1109314
03/05/2020,124.6500015,127.6399994,889500,129.0500031,127.5699997,126.0211716
03/06/2020,121.9800034,123.3499985,966700,126.5999985,125.9700012,124.4406052
03/09/2020,113.0899963,120.9700012,1044800,120.9700012,114.5899963,113.1987534
03/10/2020,113.8600006,117.6299973,889400,119.9800034,119.5599976,118.1084213
03/11/2020,107.8000031,116.4700012,822900,116.5400009,110.1399994,108.8027878
03/12/2020,98.01999664,102.3499985,1587700,104.5500031,99.80000305,98.58833313
04/01/2020,86.41999817,93.91000366,1036700,95.77999878,87.91999817,86.85256958
04/02/2020,84.86000061,85.43000031,965400,94.65000153,88.70999908,87.63295746
04/03/2020,83.27999878,88.30000305,571900,89.75,85.37999725,84.34339905
04/06/2020,89.27999878,89.86000061,925400,97.38999939,96.5,95.32839203
04/07/2020,97.72000122,101.8899994,779400,104.0599976,98.38999939,97.19546509
04/08/2020,99.66999817,99.66999817,883000,110.0599976,106.9899979,105.6910324
04/09/2020,103.4700012,108,775700,110.5800018,104.5100021,103.2411423
05/01/2020,97.59999847,102.9800034,750600,103.6600037,99.15000153,97.94622803
05/04/2020,95.63999939,97.70999908,749900,99.13999939,98.43000031,97.23497009
05/05/2020,100.3000031,100.3000031,610900,104.4800034,101.9000015,100.6628265
05/06/2020,95.27999878,102.1800003,689200,102.5500031,95.59999847,94.43932343
05/07/2020,96.30999756,97.08999634,537700,100,96.52999878,95.35803223
05/08/2020,97.87999725,98.66000366,538200,102.3399963,102.0599976,100.8208923
05/11/2020,97.73000336,100.7900009,422900,100.7900009,98.47000122,97.2744751
05/12/2020,93.51999664,99.18000031,569200,100.2300034,93.51999664,92.38456726
06/01/2020,103.1500015,105,692900,107.6600037,104.5899963,103.3201675
06/02/2020,103.1200027,104.6900024,422900,105.4499969,104.0299988,102.7669678
06/03/2020,104.3199997,105.2699966,475000,107.9000015,104.4300003,103.162117
06/04/2020,101.6100006,102.8300018,676000,105.0899963,102.9100037,101.6605682
06/05/2020,105.4800034,105.4800034,924300,112.9700012,109.1600037,107.8346863
06/08/2020,110.0100021,110.5299988,791100,114.5400009,111.2099991,109.859787
