Date,Low,Open,Volume,High,Close,Adjusted Close
01/02/2020,369.2399902,378,512400,379,373.3500061,373.3500061
01/03/2020,367.0499878,368.2099915,500800,372.3500061,369.1600037,369.1600037
01/06/2020,364.5,368.230011,690800,372.1400146,371.7399902,371.7399902
01/07/2020,368.019989,371.5599976,736400,373.8299866,373.1300049,373.1300049
01/08/2020,370.7099915,373.1799927,743100,384.8500061,382.4200134,382.4200134
01/09/2020,381.3699951,383.6300049,587500,386.5400085,383.4700012,383.4700012
01/10/2020,380,384.6199951,568100,386.1000061,381.4100037,381.4100037
02/03/2020,339.3900146,339.6900024,930100,347,341.1199951,341.1199951
02/04/2020,347.6199951,347.8999939,956800,359.4899902,356,356
02/05/2020,363,364.8399963,1404400,376.6799927,372.1600037,372.1600037
02/06/2020,375.0299988,385.5299988,1605500,394.6799927,389.8500061,389.8500061
02/07/2020,378.5100098,391.0700073,1172400,391.3699951,381.8699951,381.8699951
02/10/2020,377.4400024,378.1600037,939500,389.8399963,386.2099915,386.2099915
02/11/2020,387.980011,390.2099915,992800,398,396.75,396.75
02/12/2020,397.6400146,398.1300049,1076200,407.0499878,406.2999878,406.2999878
03/02/2020,445,445,1713100,465.5100098,464.75,464.75
03/03/2020,448.1099854,454.7200012,1210600,467.6900024,461.5499878,461.5499878
03/04/2020,467.1300049,467.9599915,1960700,494.5599976,493.480011,493.480011
03/05/2020,480,480.9400024,1270200,500,488.1700134,488.1700134
03/06/2020,477,477.2900085,1130700,496.9899902,494.4299927,494.4299927
03/09/2020,466.1499939,466.9400024,1344100,486.6900024,474.4400024,474.4400024
03/10/2020,460.7999878,488.4500122,1390500,488.7099915,475.019989,475.019989
03/11/2020,459.6099854,479.1099854,1351800,485.980011,464.7000122,464.7000122
03/12/2020,426.1000061,444.3599854,1627800,451.9599915,431.8900146,431.8900146
04/01/2020,476.4500122,484.1400146,1679800,499.9899902,496.6499939,496.6499939
04/02/2020,483.1099854,494.2900085,1058900,501,498.75,498.75
04/03/2020,485.0400085,495.5599976,1169500,503.2600098,493.3200073,493.3200073
04/06/2020,488.8900146,503.3800049,1285500,511.0100098,504.269989,504.269989
04/07/2020,492.0100098,502.8099976,1046900,509.7399902,501.5100098,501.5100098
04/08/2020,488,502.2099915,1167100,514.1099854,512.3300171,512.3300171
04/09/2020,500.8699951,510.1000061,1011800,515.6400146,512.960022,512.960022
05/01/2020,514.5499878,524.2299805,482200,529.210022,525.5,525.5
05/04/2020,527.6199951,528.1799927,885600,544.2000122,541.8200073,541.8200073
05/05/2020,561.2700195,563.0599976,1550700,581,574.3699951,574.3699951
05/06/2020,541.5599976,559.2000122,1906200,569.9899902,553.5,553.5
05/07/2020,555.960022,564.3900146,1132100,570.210022,559.8300171,559.8300171
05/08/2020,553.5200195,562,698900,567.8300171,563.4000244,563.4000244
05/11/2020,564.0999756,565.2299805,1040900,578.7700195,574.1099854,574.1099854
05/12/2020,556.4500122,576.9799805,918600,578,557.539978,557.539978
06/01/2020,597.6199951,605,1579300,610,599.4699707,599.4699707
06/02/2020,591.6699829,602.2000122,1511500,618.710022,617.6599731,617.6599731
06/03/2020,589.5999756,615.3699951,1541000,616.6799927,604.2800293,604.2800293
06/04/2020,592.789978,596.9899902,851800,610.9899902,598.539978,598.539978
06/05/2020,578.4299927,585,1324100,600.1400146,597,597
06/08/2020,579.5999756,587.8800049,964700,605.2600098,604.039978,604.039978
06/09/2020,601.8900146,603.4899902,849900,611.5599976,608.5900269,608.5900269
06/10/2020,603,613.0300293,925500,617.3699951,606.5900269,606.5900269
06/11/2020,592.3200073,621,1515800,625.789978,596.1599731,596.1599731
06/12/2020,583.1400146,616.0100098,1230200,619.6799927,588.3900146,588.3900146
07/01/2020,601.0200195,625,984700,625,609.1699829,609.1699829
07/02/2020,608.7600098,612.0999756,802500,630.7600098,622.4500122,622.4500122
07/06/2020,623.5,635,1041000,639,627.25,627.25
07/07/2020,628.2299805,636.0300293,1423100,653.5300293,640.8800049,640.8800049
07/08/2020,632.4199829,650.4099731,660100,650.4899902,640.3400269,640.3400269
07/09/2020,629,648,1009600,655.9299927,640.6300049,640.6300049
07/10/2020,617.9500122,638.4000244,929000,639.9899902,620.8599854,620.8599854
08/03/2020,632.7299805,634.8400269,487200,647.4000244,645.1799927,645.1799927
08/04/2020,636.0999756,654.460022,747700,654.460022,648.4299927,648.4299927
08/05/2020,623.9000244,654.9500122,1132700,660,624.5200195,624.5200195
08/06/2020,613.5999756,628.8800049,663500,630,621.210022,621.210022
08/07/2020,614.5499878,621,432600,627.460022,620.210022,620.210022
08/10/2020,596.5800171,623,624300,624.3599854,608.2399902,608.2399902
08/11/2020,592.4500122,601.1099854,587200,608.2399902,598.8599854,598.8599854
08/12/2020,599.9000244,599.9000244,562600,617,612.3499756,612.3499756
09/01/2020,589.2999878,615.6300049,1028000,620,592.6799927,592.6799927
09/02/2020,591.2999878,591.2999878,878000,610.9899902,610.1500244,610.1500244
09/03/2020,575.0999756,610.4000244,841500,610.4199829,577.4000244,577.4000244
09/04/2020,564.5,575,715400,584,580.3599854,580.3599854
09/08/2020,560.7800293,577.7800293,688300,578.9899902,561.8900146,561.8900146
09/09/2020,564.960022,565,620400,575.0800171,571.1500244,571.1500244
09/10/2020,548.2399902,566.6400146,879300,572.7999878,550.0999756,550.0999756
09/11/2020,540,551.789978,814100,561.3300171,544.75,544.75
10/01/2020,552.2700195,562.5,1092600,568.3800049,568.1400146,568.1400146
10/02/2020,554.039978,562,1235100,576,564.7999878,564.7999878
10/05/2020,591.1500244,598.9000244,4843300,619.9699707,605.0800171,605.0800171
10/06/2020,579.0200195,605.3200073,1725300,610.3800049,581.6400146,581.6400146
